,0,1,2
0,POLE ID,POLE TYPE,TALLY
1,,1277 08' Round Alum. Pole,2
2,,1557 10' Fluted Pole Decorative Base,4
3,1287 10' Kim Ltg pole,,3
4,,1224 10' Round Alum (Gardco),4
5,1600 10' Round Pole,,6
6,,1184 10' Walkway Alum Hinged,30
7,,701 100' Tapered Steel,14
8,,1607 12' Aluminum Octagonal Pole,3
9,,1517 12' Arlington Post (Hapco),27
10,,1665 12' AV Round Straight Steel Pole,5
11,,1358 12' ELA Pole (#MTA-12'),57
12,,1664 12' Fluted Philips Lumec Steel Pole,14
13,,1551 12' Lumec RA40 CalTrans Pullbox,9
14,,1163 12' Rnd Alum Pole (Gardco),38
15,,1325 12' Rnd Alum Pole (Se'lux Saturn 2),4
16,,1464 12' Rnd Alum Pole-Dbl (Se'lux Saturn 2),4
17,,1341 12' Se'lux Black Rd Alum Pole,28
18,,1183 12' Shakespeare Posttop,48
19,,1197 12' Sq Alum Pole (Kim),15
20,,1309 12' Sq Steel Pole (Kim),11
21,,1510 12' Sq Stl Pole (Gardco),20
22,,1465 12' Stl Straight Pole (Se'lux Saturn 2),7
23,,1126 12' Walkway Alum Upright,66
24,,1630 12.5' Sterner Tapered Alum. Hinged Base,3
25,,1302 120' Tapered Stl Pole,2
26,,1419 12'-6 ELA Pole (#MTA-12'-6),10
27,,1552 13' Decorative Fluted Cast Aluminum,22
28,,1660 13' Decorative Fluted Steel Pole,61
29,1528 13' Lumec Len4 Pole,,4
30,,1646 13' Rnd. Galv. Steel Pole,1
31,,1446 13' Round Steel Pole (Gardco),106
32,,1130 13' Walkway Alum Hinged,19
33,,1674 14' AV Round Straight Alum Pole,22
34,1614 14' AV Steel Pole,,140
35,,1670 14' Decor. Fluted Steel Pole (Twin Arm),4
36,,1631 14' Decorative Alum. Pole Hinged Base,9
37,,1354 14' Decorative Lumec Ped Pole,181
38,,1653 14' Fluted Aluminum Classic Pole,11
39,,1431 14' Fluted Conc. Pole (Ameron),231
40,,1663 14' Fluted Philips Lumec Steel Pole,39
41,,1525 14' Lumec Fluted Alum Pole,53
42,,1608 14' Lumec R500 Decorative Pole,66
43,1537 14' Lumec RA40,,30
44,,1564 14' Moldcast Black Aluminum,12
45,,1507 14' Ornamental Posttop Ped,20
46,,1499 14' Ped Decorative Pole,42
47,,1324 14' Rd Alum Se'Lux Pole,51
48,,1413 14' Rnd Alum Pole (Kim),4
49,,1407 14' Rnd Alum Post Top,41
50,,1577 14' Round Steel Bottleneck Pole,86
51,,1626 14' Se'lux Alum. Pole Hinged Base,2
52,,1346 14' Se'lux Saturn 2 Post Top,20
53,,1384 14' Se'lux Saturn 2 Post Top (2),13
54,,1198 14' Sq Alum Pole (Kim),5
55,,1235 14' Sq Stl Pole (Gardco),108
56,1209 14' Sq Stl Pole (GE),,1
57,,1336 14' Sun Valley Pole (Twin Fixtures),1
58,1622 14' Visco Pole,,15
59,,1182 14' Walkway Stl Upright,12
60,,1624 14.5' Valmont Rnd Galv. Pole,5
61,,1495 15' Hinged Gardco Pole,3
62,1589 15' Lumec Len4 Pole,,15
63,,1169 15' Oct Alum Pole with Teardrop Hat,323
64,,1385 15' Oct Classic Pole (Coachman King),519
65,,1238 15' Pedestrian Pole (ELA),44
66,,1404 15' Rnd Alum Pole (Gardco),512
